data,order,lm99,lm95,pdr4,pdr0
raw_all,test_order,4.399999618530273,3.3000001907348633,97.922972045215,3.329454753301896
raw_all,chronological,4.399999618530273,3.3000001907348633,97.922972045215,3.329454753301896
clean_all,test_order,4.399999618530273,3.3000001907348633,97.92006371248232,3.3263440970449887
clean_all,chronological,4.399999618530273,3.3000001907348633,97.92006371248232,3.3263440970449887
clean_test,test_order,8.5,7.000000238418579,66.85047994690638,3.946949544873282
clean_test,chronological,4.800000190734863,3.5,97.04208101093707,3.63777632693584
restored_all,test_order,10.749377179968956,3.5,96.37581299782121,3.3466319471048265
restored_all,chronological,10.749377179968956,3.5,96.37581299782121,3.3466319471048265
restored_test,test_order,10.840157298565444,7.40000057220459,65.83393135599165,3.9555826539256365
restored_test,chronological,10.836983866093815,3.8000001907348633,95.46761774751393,3.645869866672422
