PDR,ADR,ANN,FRIIS,MLR,RF,SPLMSF,SPLMSFT,SVR
80,-0.0,-3.684971098265896,-40.39017341040462,-16.690751445086704,-12.066473988439306,-70.15895953757226,-55.5635838150289,-8.38150289017341
85,0.36127167630057805,16.257225433526013,-11.127167630057803,7.9479768786127165,11.560693641618498,-54.6242774566474,-35.910404624277454,13.945086705202312
90,1.083815028901734,17.557803468208093,-10.83815028901734,9.971098265895954,13.00578034682081,-43.641618497109825,-34.104046242774565,15.534682080924856
95,1.083815028901734,28.251445086705203,-5.997109826589595,13.945086705202312,20.014450867052023,-13.00578034682081,-9.104046242774567,25.289017341040463
99,-0.0,32.73121387283237,-2.8179190751445087,17.991329479768787,27.601156069364162,-7.225433526011561,-3.8294797687861273,30.202312138728324
