weight,ours,paper,descriptor,err_pct,err_vs_descriptor_pct
b0_intercept,-444.8211623669023,-431.03,-439.55,-3.1995829447839625,-1.1992179198958648
gamma,2.1916058047575655,2.205,2.203,-0.607446496255536,-0.5172126755530797
b1_T,0.1303320842809478,0.0859,0.123,51.72536004766915,5.961044130851877
b2_RH,0.01218632335035587,0.0012,0.0105,915.5269458629894,16.060222384341614
b3_BP,0.41344077852634564,0.3991,0.407,3.593279510484999,1.5825008664239975
b4_PM25,0.0020590334359979617,0.000222,0.00222,827.4925387378206,-7.250746126217947
b5_SNR,-0.6456183248890125,-0.6236,-0.635,-3.530841066230348,-1.6721771478759822
