model,train_rmse,test_rmse,test_r2,paper_test_rmse,paper_test_r2,rmse_err_pct
Friis,4.072291858618046,4.0551196302050165,0.8430879272877317,4.002,0.8246,1.3273270915796291
Two-ray,11.213569604722641,11.21240397227345,0.8125830396348701,10.981,0.8049,2.1073123784122534
Okumura-Hata,45.93209717296566,45.92521108839983,0.8152465231364743,39.7115,0.8064,15.64713266534839
SPLMSF,2.5668841155128037,2.554581448990793,0.8431529462193091,2.66,0.8243,-3.963103421398757
