scheme,pdr,LM_dB,LM_ADR_dB,pdr_at_LM,mean_sf,mean_tp_dbm,mean_energy_mJ,mean_toa_ms,energy_improvement_pct,toa_improvement_pct,paper_energy_pct,paper_toa_pct
ADR,80,5.25,5.25,80.06453249016636,8.135868949404585,14.72517229511161,29.68755502315516,101.50711827898972,0.0,0.0,,
Friis,80,0.0,5.25,84.13558297766723,8.293919593380563,15.044929246304168,36.48468132374513,130.78406854688586,-22.895540893443286,-28.84226324643479,,
SPLMSF,80,3.05,5.25,80.11363329790161,8.428833505096232,15.01056999687891,56.98613640098072,177.65391929122174,-91.95294579339293,-75.01621788035048,,
SPLMSFT,80,2.7,5.25,80.41039642157631,8.36949167174761,14.828215018737213,49.58374443468954,160.56004981303926,-67.01861906787579,-58.17614817095295,,
MLR,80,2.25,5.25,80.30895739021113,8.294793695672114,14.575393778838976,46.729297915575685,150.52027716596615,-57.40365913975947,-48.285440191755804,,
ANN,80,1.2,5.25,80.38072010920882,8.134379738093054,13.930451986912859,34.23312807524047,117.32404318712807,-15.31137558663872,-15.582084464919912,,
SVR,80,1.45,5.25,80.56039669136096,8.117253808010446,14.149045361684935,33.292311535643144,114.20094899451259,-12.142315221568142,-12.505360146895494,,
RF,80,1.25,5.25,80.13683477847981,8.121543384070835,14.010005371716575,33.353658582410596,114.18950908904512,-12.348957522423161,-12.494090094448508,,
ADR,85,5.85,5.85,85.4359450286781,8.23001300362051,15.087511864935951,35.07555858209662,119.2752446245407,0.0,0.0,,
Friis,85,0.5,5.85,85.32857073483945,8.334479018847157,15.443107140395549,40.97843049825633,139.52248219151474,-16.829017568868228,-16.9752220007673,,
SPLMSF,85,3.8,5.85,85.3102253781032,8.543589107174654,15.445104226029377,66.54466048541231,202.02063891481816,-89.71803493780496,-69.37348529508087,,
SPLMSFT,85,3.3,5.85,85.159145969687,8.46374363982669,15.184299185335497,57.361828169503134,182.12957303880046,-63.53788931185245,-52.69687654979462,,
MLR,85,2.75,5.85,85.10626817674132,8.36975066501918,14.874594867868879,52.507578574728555,166.4196531000955,-49.698481499107594,-39.52572776015496,,
ANN,85,1.45,5.85,85.66148500267087,8.169559657481399,14.09086174079049,36.50657988382631,123.62212968008939,-4.079824697246934,-3.644415125059673,,
SVR,85,1.7,5.85,85.20123237631722,8.151726891595128,14.311681901377302,35.58568397928267,121.15264472058401,-1.4543614351630823,-1.5740064939318021,,
RF,85,1.45,5.85,85.66580155719704,8.153426534939811,14.12931913329527,35.26621755094695,120.59780930541243,-0.5435664507069216,-1.1088341801645039,,
ADR,90,6.55,6.55,90.43343603135978,8.361047411955777,15.457439709605998,42.851313419402736,146.24705394074454,0.0,0.0,,
Friis,90,0.85,6.55,90.07947856021323,8.342421479175322,15.77294648709528,44.09905184040461,142.55880051582827,-2.911785710719689,2.521933485518727,,
SPLMSF,90,4.65,6.55,90.03739215358301,8.6732476137547,15.922776298105532,77.96197242238169,229.56960541295933,-81.93601596137103,-56.973832447917154,,
SPLMSFT,90,4.1,6.55,90.24998246399724,8.591475883949432,15.646834039303762,68.86183727075658,212.4746198464386,-60.69947867590094,-45.284717962611225,,
MLR,90,3.45,6.55,90.28235662294357,8.475738265716306,15.28760046829718,61.27672791501813,189.60262152989486,-42.99848248588924,-29.64542971697527,,
ANN,90,1.8,6.55,90.40429928830808,8.225459038595393,14.299303738792766,40.04150373839237,134.1807438934243,6.557114489139796,8.250634609165653,,
SVR,90,2.0,6.55,90.62336443051157,8.194482364176913,14.503591399080568,38.391412659396806,128.56584297453773,10.407850784770861,12.089960440072009,,
RF,90,1.7,6.55,90.04332741605651,8.186825875586107,14.29474835048891,37.49768963982994,126.01488356633736,12.493488185939054,13.834241326054137,,
