model,n_fit_rows,n_cv_rows,cv_rmse,cv_rmse_sd,test_rmse,test_r2,paper_train_rmse,paper_train_s,paper_test_rmse,paper_test_r2,test_rmse_err_pct
MLR,741330,741330,1.944545832231506,0.0025830254383548794,1.9352188884784465,0.9099918021085389,1.951,0.00129,1.951,0.905,-0.8088729636880365
ANN,741330,100000,1.5860908542568395,0.01395452845992912,1.536509270302055,0.9436847621708979,1.706,0.135,1.613,0.935,-4.742140712829814
SVR,50000,50000,1.5980870545814327,0.014772136561862319,1.5730374670606202,0.9406991686583961,2.021,0.428,1.626,0.9342,-3.2572283480553317
RF,741330,741330,1.5430435864966676,0.003367470518862416,1.5254495078929087,0.9440723139844004,1.919,0.339,1.566,0.9389,-2.5894311690352096
