kind,order,window,backoff,update_every,rmse,curve
closed,test_order,20,8.0,5.0,18.94519406031705,"[55.8, 53.1, 54.1, 57.4, 61.9, 65.3, 69.8, 75.0, 78.8, 82.0, 88.9, 91.6, 97.4, 98.5, 98.8, 99.0]"
closed,test_order,10,96.0,5.0,19.17575011053785,"[6.8, 8.2, 10.3, 15.5, 27.1, 40.3, 57.0, 73.3, 85.2, 90.3, 91.5, 92.8, 94.0, 95.0, 96.4, 97.3]"
closed,test_order,20,96.0,10.0,20.740781026615593,"[9.2, 11.3, 14.7, 18.0, 25.9, 37.1, 50.1, 65.1, 80.5, 86.9, 89.0, 90.9, 92.0, 93.3, 95.2, 96.5]"
closed,test_order,50,16.0,10.0,21.139582461782037,"[57.6, 51.4, 50.5, 55.9, 59.5, 62.7, 65.1, 67.8, 72.5, 74.2, 79.4, 87.2, 89.7, 93.3, 96.4, 97.2]"
closed,test_order,50,8.0,20.0,22.894940754789275,"[69.9, 67.8, 62.0, 63.5, 67.7, 72.3, 76.0, 82.4, 86.3, 88.7, 93.0, 95.5, 97.2, 98.0, 98.2, 98.6]"
closed,test_order,20,32.0,5.0,23.02876817072594,"[23.2, 23.3, 28.0, 32.8, 35.5, 39.0, 45.6, 53.7, 60.3, 68.7, 79.1, 82.0, 93.6, 96.0, 96.8, 97.4]"
closed,test_order,50,64.0,20.0,23.052321939943624,"[22.6, 18.6, 24.3, 32.0, 35.6, 39.2, 47.8, 54.2, 60.3, 68.1, 76.8, 84.3, 88.6, 91.0, 93.8, 95.2]"
closed,test_order,50,32.0,10.0,23.482336426432816,"[39.8, 33.3, 36.3, 44.3, 47.6, 49.0, 51.4, 54.0, 60.7, 63.1, 70.4, 79.7, 83.3, 89.7, 93.9, 95.8]"
closed,test_order,50,8.0,10.0,23.8814699752017,"[69.9, 67.9, 64.5, 66.1, 69.5, 73.8, 75.9, 78.4, 82.0, 83.1, 85.9, 91.3, 93.4, 95.7, 97.7, 98.2]"
closed,test_order,50,16.0,5.0,24.294814798931718,"[57.7, 53.2, 53.8, 58.1, 60.5, 63.8, 65.1, 65.9, 68.2, 69.2, 71.7, 75.6, 80.2, 85.0, 84.9, 89.5]"
closed,test_order,10,8.0,1.0,24.31214037171787,"[43.5, 44.2, 46.5, 48.9, 51.9, 54.5, 56.5, 59.5, 61.2, 63.8, 68.4, 74.5, 80.5, 82.1, 86.9, 90.0]"
closed,test_order,20,8.0,1.0,24.43308924267497,"[56.5, 56.0, 57.6, 59.2, 62.5, 65.3, 67.1, 68.2, 69.8, 69.9, 72.0, 75.7, 80.3, 83.8, 83.3, 85.3]"
