kind,step,order,window,backoff,upd,rmse,curve
closed,3.0,test_order,20,96.0,1.0,27.91494613645635,"[14, 15, 18, 24, 30, 36, 43, 52, 60, 62, 63, 69, 78, 80, 85, 96]"
closed,3.0,test_order,10,96.0,1.0,28.56932749331585,"[9, 10, 16, 23, 30, 35, 43, 51, 59, 60, 62, 69, 78, 80, 85, 96]"
closed,3.0,test_order,10,200.0,1.0,33.58546754765196,"[5, 6, 12, 17, 24, 29, 35, 44, 54, 56, 57, 62, 74, 75, 80, 93]"
closed,3.0,test_order,20,200.0,1.0,33.818083328456254,"[8, 9, 11, 17, 23, 29, 34, 43, 54, 56, 57, 63, 74, 75, 80, 93]"
closed,,test_order,20,32.0,1.0,41.04219892339182,"[26, 27, 29, 32, 33, 35, 36, 36, 39, 39, 42, 48, 57, 63, 62, 63]"
closed,,test_order,10,32.0,1.0,43.044086427474646,"[17, 18, 20, 22, 24, 25, 27, 29, 31, 34, 41, 51, 61, 64, 73, 81]"
closed,,test_order,10,64.0,1.0,52.04965934109156,"[10, 11, 12, 13, 14, 15, 17, 19, 20, 23, 28, 39, 51, 55, 67, 77]"
closed,,test_order,20,64.0,1.0,52.06051544730068,"[16, 17, 18, 20, 21, 22, 23, 23, 24, 25, 28, 33, 44, 52, 51, 54]"
closed,,test_order,10,96.0,1.0,56.444154974282455,"[7, 8, 9, 9, 10, 11, 12, 14, 15, 17, 22, 32, 45, 50, 62, 74]"
closed,,test_order,20,96.0,1.0,57.47957097153912,"[12, 13, 14, 15, 15, 16, 17, 17, 19, 18, 20, 26, 37, 47, 46, 51]"
closed,,test_order,10,200.0,1.0,62.759565347748314,"[4, 4, 4, 5, 5, 6, 6, 7, 8, 9, 14, 21, 36, 42, 53, 68]"
closed,,test_order,20,200.0,1.0,65.19807090894594,"[6, 7, 7, 8, 8, 8, 9, 9, 10, 10, 11, 15, 26, 37, 38, 44]"
