sf_max,max_tp,adr_sf,energy_rmse,toa_rmse,energy_bias_80_95,n_unreachable
11,20.0,both,13.287337124197261,15.350806886760342,-3.116584929940472,0
10,24.0,fixed,16.595817417935177,57.31845395597789,-10.574830265509798,14
11,20.0,fixed,17.022921868103403,32.42166606897392,-13.014564640899518,14
10,30.0,fixed,20.215090106918936,57.31845395597789,-15.946266030266848,14
10,20.0,down_only,22.817424532959457,29.317251196410766,11.422006687185794,14
10,20.0,both,22.819504054532096,29.320309427341535,11.42717410563026,14
10,24.0,both,23.684788938788074,31.303270797052466,-20.55439339782178,14
10,24.0,down_only,23.69233132281631,31.298608498716913,-20.561332529330098,14
12,20.0,both,25.09295469440019,15.771536190533578,-23.076291987275074,0
11,20.0,down_only,25.22028394690005,27.006385952936135,-23.19143174097215,14
10,20.0,fixed,27.882291522042888,55.38752016078206,19.053282570870465,14
10,30.0,both,29.064001071323492,31.303270797052466,-26.344502218076915,14
10,30.0,down_only,29.07333132816791,31.298608498716913,-26.351885071401618,14
11,24.0,both,35.97195910935938,16.807620203633874,-29.03332297468428,0
12,20.0,fixed,38.00254225947279,23.4477668590324,-32.11612336776979,14
11,24.0,fixed,41.09254537744898,34.24096619139731,-38.752114897487985,14
11,30.0,fixed,44.047749444615796,34.24096619139731,-41.18772379898788,14
12,24.0,both,46.1903426616196,14.550039463438948,-44.391582863579224,0
11,30.0,both,48.09992487461336,16.807620203633874,-32.003648582347594,0
12,30.0,both,49.11487437162094,14.550039463438948,-45.981573654618494,0
12,20.0,down_only,49.180967171736974,50.78203554912306,-43.78738897485645,14
11,24.0,down_only,52.97342451238019,26.077937276831705,-50.95897642699596,14
11,30.0,down_only,56.1575103958356,26.077937276831705,-53.58566380076891,14
12,24.0,fixed,59.86318990349541,25.301836617175205,-53.259814216362415,14
12,30.0,fixed,61.549772721392024,25.301836617175205,-54.73356143336936,14
12,24.0,down_only,73.0908130634034,46.37965409285408,-66.59892119872859,14
12,30.0,down_only,74.9107575425455,46.37965409285408,-68.18904887258121,14
