rule,sf_enh,sf_adr,fig11,energy,toa,unreach,total
residual,11,12,2.3644840773974507,21.762204431940408,21.49463633713382,0,16.78343100042219
threshold,12,12,3.797555285843017,25.09295469440019,15.771536190533578,0,17.419052247487606
residual,10,10,2.3644840773974507,22.079459368096327,24.67090281814425,0,17.947938139477642
threshold,11,12,3.7945422952449523,20.436345875791098,22.827826902446425,0,18.21593322132413
residual,12,12,2.3644840773974507,32.298539322304435,18.864451358913854,0,19.418814304470214
threshold,11,10,3.8923303226881116,25.21186631182477,26.97899625837731,14,21.289284512755472
threshold,10,10,4.715520369357361,22.819504054532096,29.320309427341535,14,22.095458196648572
threshold,10,12,4.635131955328745,31.919901112422185,45.788342086739114,14,30.53787968838251
residual,10,12,2.3644840773974507,42.383513950556534,47.776328010489294,0,32.417764731079394
residual,11,10,2.3644840773974507,49.25811781988633,50.31330931816689,0,35.55495979008185
threshold,12,10,3.895267674954925,49.16970079519248,50.74486561125343,14,37.20012314377023
residual,12,10,2.3644840773974507,101.14463337253379,103.28967946893287,0,70.509255024553
