rule,sf_max,fig11_rmse,energy_rmse,toa_rmse,unreachable
threshold,10,4.715520369357361,22.819504054532096,29.320309427341535,14
threshold,11,3.7944986928662847,13.287337124197261,15.350806886760342,0
threshold,12,3.797555285843017,25.09295469440019,15.771536190533578,0
residual,10,2.3644840773974507,22.079459368096327,24.67090281814425,0
residual,11,2.3644840773974507,15.34663207919482,13.44394393552067,0
residual,12,2.3644840773974507,32.298539322304435,18.864451358913854,0
