check,scheme,fig11_rmse,pdr_lm0,pdr_lm1,pdr_lm2,pdr_lm3,pdr_lm4,pdr_lm5,pdr_lm6,pdr_lm7
psi,MLR_det,4.036527928676889,49.91178041687125,70.09652895059165,86.0559101725003,94.53416283122812,98.04783821553636,99.38435141070397,99.83651049732104,99.88938829026671
psi,MLR,1.1765989431922257,49.73803909719262,64.68249043613388,77.41254930314622,87.04494072831066,93.21977197800716,96.69297966363249,98.49675988625879,99.32122180075864
psi,SPLMSFT_own,1.6385125233728617,50.05314757760355,61.12510993724809,71.30840163381589,79.95931647359077,86.80914893731824,91.78775501394787,95.1061063059466,97.23470725666773
psi,SPLMSFT,0.7492200125053939,50.40170935559236,62.66773861104067,73.76883771373689,83.00518526112457,89.75897438664458,94.22660832123799,96.9465772420454,98.50107644078496
window,ADR incl. current,2.1199223687171678,0.0,14.025025224865512,32.03530941602413,51.46412133834774,66.28716958124026,77.15949129404909,85.93450707645157,92.8237281002304
window,ADR previous 20,1.5596541291338637,3.9555826539256365,13.576643123458856,31.378653558729425,50.883544754576896,65.83393135599165,76.78772803548209,85.63018998235609,92.60736080460576
