variant,scheme,pdr,LM,energy_pct,toa_pct,paper_energy_pct,paper_toa_pct,mean_sf,mean_tp_dbm
stateless (final run),ANN,80,1.25,-2.2966354207679123,-15.515588211030867,3.814935064935065,-3.684971098265896,8.143180113633298,14.307428311697773
stateless (final run),SVR,80,1.5,0.6641546026013595,-12.00237477973111,-0.8928571428571428,-8.38150289017341,8.123998424457598,14.533883771101427
stateless (final run),RF,80,1.25,1.421328383242023,-10.692053548848675,-4.058441558441558,-12.066473988439306,8.121543384070835,14.369782765453552
stateless (final run),MLR,80,1.75,-10.343660445902724,-22.489272243612383,-14.366883116883116,-16.690751445086704,8.220608310446602,14.600771692707179
stateless (final run),Friis,80,0.0,-9.009675343474763,-26.77834622827912,-30.03246753246753,-40.39017341040462,8.293919593380563,15.419614380267902
stateless (final run),SPLMSF,80,3.25,-68.91854615686898,-78.5044567691366,-72.32142857142857,-70.15895953757226,8.459427085300513,15.4515138265179
stateless (final run),SPLMSFT,80,3.25,-67.01453926824502,-77.09487082739979,-50.56818181818182,-55.5635838150289,8.45514830062644,15.44069417085854
stateless (final run),ANN,85,1.5,7.786870119846761,-4.041646506042371,14.853896103896105,16.257225433526013,8.175187365444902,14.476688696568054
stateless (final run),SVR,85,1.75,10.249909380323718,-2.390010434944822,10.47077922077922,13.945086705202312,8.159140573993838,14.686856406563743
stateless (final run),RF,85,1.5,10.747047132391998,-1.9385679058406438,7.386363636363636,11.560693641618498,8.162577630535306,14.514021791491363
stateless (final run),MLR,85,2.0,0.7139050540861486,-12.204921329843394,-2.191558441558441,7.9479768786127165,8.257201901442269,14.741634472178612
stateless (final run),Friis,85,0.5,-3.579262152220132,-16.601122776744663,-16.63961038961039,-11.127167630057803,8.334479018847157,15.797500291640311
stateless (final run),SPLMSF,85,4.0,-64.51230493534491,-74.2785022647911,-60.06493506493506,-54.6242774566474,8.57404779504999,15.875135082050152
stateless (final run),SPLMSFT,85,3.75,-55.88466604725976,-66.71077714105827,-36.12012987012987,-35.910404624277454,8.532765346700264,15.722632755407986
stateless (final run),ANN,90,2.0,16.31081078627569,5.496535357426503,17.37012987012987,17.557803468208093,8.251455488229295,14.77734924307915
stateless (final run),SVR,90,2.0,23.420612112545488,12.345161152249261,13.87987012987013,15.534682080924856,8.194482364176913,14.849638800600637
stateless (final run),RF,90,1.75,24.27686781751865,12.507906613971768,10.714285714285714,13.00578034682081,8.193575887726416,14.668216341900601
stateless (final run),MLR,90,2.5,9.980868548830331,-3.1443830938759008,4.626623376623376,9.971098265895954,8.331689445484614,15.02851972749803
stateless (final run),Friis,90,1.0,9.323479483101037,2.799773621157861,-11.03896103896104,-10.83815028901734,8.342491623186373,16.228349718105708
stateless (final run),SPLMSF,90,4.75,-49.32362197041223,-58.74245602020292,-55.11363636363636,-43.64161849710983,8.688862749753147,16.287733414959376
stateless (final run),SPLMSFT,90,4.75,-48.99856326168834,-58.73846109945927,-35.146103896103895,-34.104046242774565,8.687060588238468,16.2819396783394
stateless (final run),ANN,95,2.5,16.695813308905695,5.817690094198768,19.805194805194805,28.251445086705203,8.330189442786768,15.064332917259302
stateless (final run),SVR,95,2.5,23.188259217424203,13.329838206151429,15.584415584415584,25.289017341040463,8.273707326811738,15.15370094578323
stateless (final run),RF,95,2.5,18.971331808205427,7.353170725086182,11.03896103896104,20.014450867052023,8.315124667490409,15.105889964334843
stateless (final run),MLR,95,3.25,4.250881967514584,-8.814422319950026,7.548701298701299,13.945086705202312,8.443013386714725,15.474518235911557
stateless (final run),Friis,95,2.0,0.5357213581456967,-18.303607785650264,-9.577922077922077,-5.997109826589595,8.526538716796253,16.608804192159464
stateless (final run),SPLMSF,95,6.0,-57.37069521128923,-64.46329437793523,-53.40909090909091,-13.00578034682081,8.875569920089784,16.949174841880026
stateless (final run),SPLMSFT,95,6.0,-57.67456325507557,-65.00028843282566,-34.65909090909091,-9.104046242774569,8.876012366928718,16.944521335195585
stateless (final run),ANN,99,4.0,43.291821949308094,36.41905029796022,43.26298701298701,32.73121387283237,8.550954228334943,15.955424284783467
stateless (final run),SVR,99,3.75,49.63541658719833,41.65044887090924,41.1525974025974,30.202312138728324,8.474615961539499,15.849475281629587
stateless (final run),RF,99,3.75,47.391121744230155,39.75440123869301,38.5551948051948,27.60115606936416,8.50222572342756,15.839636779395567
stateless (final run),MLR,99,4.75,34.86307864674449,26.733111094525395,20.0487012987013,17.991329479768787,8.662040759066114,16.381683850465738
stateless (final run),Friis,99,3.75,21.20773111484997,19.219587156972597,-10.308441558441558,-2.8179190751445087,8.73484484684325,17.966992605374163
stateless (final run),SPLMSF,99,8.75,0.5615686576946399,-2.6526288360245864,-18.99350649350649,-7.225433526011561,9.27829906168896,18.177946426211275
stateless (final run),SPLMSFT,99,8.75,0.473207075529777,-2.6411962067830395,-10.876623376623376,-3.8294797687861273,9.277667765589506,18.175429030050193
carry TP+SF,ANN,80,1.25,-22.732860307261056,-82.07555207543042,3.814935064935065,-3.684971098265896,9.144172921174318,12.808693461962966
carry TP+SF,SVR,80,1.5,-19.88159416663746,-81.00987643301596,-0.8928571428571428,-8.38150289017341,9.15101466009831,12.970795636442896
carry TP+SF,RF,80,1.25,-18.186805841288994,-76.5885396592273,-4.058441558441558,-12.066473988439306,9.120658490392968,12.864403885460687
carry TP+SF,MLR,80,1.75,-31.37564207155653,-84.80438495774493,-14.366883116883116,-16.690751445086704,9.172246712673944,13.232717897689763
carry TP+SF,Friis,80,0.0,-34.118810622401064,-81.13618874900777,-30.03246753246753,-40.39017341040462,9.125741233347542,14.389837745848276
carry TP+SF,SPLMSF,80,3.25,-95.49084332618375,-164.49839540082525,-72.32142857142857,-70.15895953757226,9.600653958010716,13.581058242515436
carry TP+SF,SPLMSFT,80,3.25,-94.06583444179077,-163.20403225697405,-50.56818181818182,-55.5635838150289,9.59204782742415,13.5892269439291
carry TP+SF,ANN,85,1.5,-9.34801571524857,-60.9433423303155,14.853896103896105,16.257225433526013,9.172494914559199,12.976912899273565
carry TP+SF,SVR,85,1.75,-7.552117495950222,-61.818828371390744,10.47077922077922,13.945086705202312,9.185951773294557,13.125969961729961
carry TP+SF,RF,85,1.5,-6.664012655556072,-59.182226782247746,7.386363636363636,11.560693641618498,9.164007489222103,13.008788389518932
carry TP+SF,MLR,85,2.0,-18.10224891119319,-66.15533493841049,-2.191558441558441,7.9479768786127165,9.210960811080595,13.379470800402576
carry TP+SF,Friis,85,0.5,-22.199044433074196,-58.59658736497241,-16.63961038961039,-11.127167630057803,9.142797019419099,14.785839500637085
carry TP+SF,SPLMSF,85,4.0,-87.890851322825,-147.30481115081707,-60.06493506493506,-54.6242774566474,9.691598366184111,14.042263578659412
carry TP+SF,SPLMSFT,85,3.75,-79.50789166593316,-140.04022408898274,-36.12012987012987,-35.910404624277454,9.654006571954266,13.898504827812374
carry TP+SF,ANN,90,2.0,1.981415517568623,-40.99464014800233,17.37012987012987,17.557803468208093,9.245719866402638,13.28306077743144
carry TP+SF,SVR,90,2.0,9.16998115875418,-35.916430062729766,13.87987012987013,15.534682080924856,9.217586722278277,13.28939057795752
carry TP+SF,RF,90,1.75,9.917162359697958,-33.98707357787957,10.714285714285714,13.00578034682081,9.193964377633773,13.170752384889004
carry TP+SF,MLR,90,2.5,-6.807107179802359,-47.868376873213556,4.626623376623376,9.971098265895954,9.290552680850146,13.672302192619828
carry TP+SF,Friis,90,1.0,-1.4367387774674003,-27.803506969709925,-11.03896103896104,-10.83815028901734,9.133856355856755,15.182268661966727
carry TP+SF,SPLMSF,90,4.75,-68.36420205268718,-116.63913024868377,-55.11363636363636,-43.64161849710983,9.771093113476823,14.511837358887421
carry TP+SF,SPLMSFT,90,4.75,-68.12140761267398,-116.13491418054191,-35.146103896103895,-34.104046242774565,9.762967199581293,14.5257299801168
carry TP+SF,ANN,95,2.5,3.0567649973349087,-35.65326641691774,19.805194805194805,28.251445086705203,9.319273955528697,13.58784630051831
carry TP+SF,SVR,95,2.5,10.331046758977275,-29.56945462442649,15.584415584415584,25.289017341040463,9.28834044665548,13.6026434597089
carry TP+SF,RF,95,2.5,5.153408297117129,-34.07553886038497,11.03896103896104,20.014450867052023,9.306577889528578,13.628927932851157
carry TP+SF,MLR,95,3.25,-11.784356365050737,-47.75395661970303,7.548701298701299,13.945086705202312,9.395574452472037,14.140087040946447
carry TP+SF,Friis,95,2.0,-23.022728049032633,-50.17272036267879,-9.577922077922077,-5.997109826589595,9.333254196500354,15.75067053917596
carry TP+SF,SPLMSF,95,6.0,-73.91426118913515,-112.99746179113393,-53.40909090909091,-13.00578034682081,9.882649069512714,15.288822195336252
carry TP+SF,SPLMSFT,95,6.0,-74.20986182247717,-113.03538222439394,-34.65909090909091,-9.104046242774569,9.8755807114761,15.303160527258001
carry TP+SF,ANN,99,4.0,36.17293839094017,16.912827712003015,43.26298701298701,32.73121387283237,9.498146579400323,14.551122345327839
carry TP+SF,SVR,99,3.75,41.89702851918214,20.567213721571044,41.1525974025974,30.202312138728324,9.463311984374073,14.37637339039559
carry TP+SF,RF,99,3.75,39.95391494619393,19.887684124651045,38.5551948051948,27.60115606936416,9.461250829587822,14.42868706093556
carry TP+SF,MLR,99,4.75,26.61465890154202,8.825472070518193,20.0487012987013,17.991329479768787,9.570049586420119,15.09962369729121
carry TP+SF,Friis,99,3.75,17.6256157688762,8.202372205854614,-10.308441558441558,-2.8179190751445087,9.469295808085986,16.96524608452538
carry TP+SF,SPLMSF,99,8.75,-6.119680903463924,-23.96624225007949,-18.99350649350649,-7.225433526011561,10.089908435087114,16.818785256287782
carry TP+SF,SPLMSFT,99,8.75,-6.056393354547848,-23.66286772620536,-10.876623376623376,-3.8294797687861273,10.082656623483135,16.831149009219533
carry SF,ANN,80,1.25,-3.9588073209809767,-15.515588211030867,3.814935064935065,-3.684971098265896,8.143180113633298,14.313083177713832
carry SF,SVR,80,1.5,-0.7060016244973881,-12.00237477973111,-0.8928571428571428,-8.38150289017341,8.123998424457598,14.535880590999682
carry SF,RF,80,1.25,0.34030105730450444,-10.692053548848675,-4.058441558441558,-12.066473988439306,8.121543384070835,14.366105859474219
carry SF,MLR,80,1.75,-12.78074260157016,-22.489272243612383,-14.366883116883116,-16.690751445086704,8.220608310446602,14.624563146165656
carry SF,Friis,80,0.0,-17.428141065418487,-26.77834622827912,-30.03246753246753,-40.39017341040462,8.293919593380563,15.53592657371824
carry SF,SPLMSF,80,3.25,-74.9668434130148,-78.5044567691366,-72.32142857142857,-70.15895953757226,8.459427085300513,15.495050699508312
carry SF,SPLMSFT,80,3.25,-73.09004825386654,-77.09487082739979,-50.56818181818182,-55.5635838150289,8.45514830062644,15.4869143927937
carry SF,ANN,85,1.5,6.446941592682007,-4.041646506042371,14.853896103896105,16.257225433526013,8.175187365444902,14.481059117974295
carry SF,SVR,85,1.75,8.775685229249467,-2.390010434944822,10.47077922077922,13.945086705202312,8.159140573993838,14.69365146758432
carry SF,RF,85,1.5,9.318524157589982,-1.9385679058406438,7.386363636363636,11.560693641618498,8.162577630535306,14.518946236840536
carry SF,MLR,85,2.0,-2.047784571225066,-12.204921329843394,-2.191558441558441,7.9479768786127165,8.257201901442269,14.777286541043665
carry SF,Friis,85,0.5,-10.22354569213445,-16.601122776744663,-16.63961038961039,-11.127167630057803,8.334479018847157,15.90076464653372
carry SF,SPLMSF,85,4.0,-71.0322808204923,-74.2785022647911,-60.06493506493506,-54.6242774566474,8.57404779504999,15.929261158601658
carry SF,SPLMSFT,85,3.75,-62.19401033943398,-66.71077714105827,-36.12012987012987,-35.910404624277454,8.532765346700264,15.778734272650057
carry SF,ANN,90,2.0,14.578058396413207,5.496535357426503,17.37012987012987,17.557803468208093,8.251455488229295,14.79423795757236
carry SF,SVR,90,2.0,22.190550835343085,12.345161152249261,13.87987012987013,15.534682080924856,8.194482364176913,14.85570699123048
carry SF,RF,90,1.75,22.796990243856513,12.507906613971768,10.714285714285714,13.00578034682081,8.193575887726416,14.6816358574993
carry SF,MLR,90,2.5,6.551231488092295,-3.1443830938759008,4.626623376623376,9.971098265895954,8.331689445484614,15.086905892956883
carry SF,Friis,90,1.0,7.800849768757038,2.799773621157861,-11.03896103896104,-10.83815028901734,8.342491623186373,16.25529467427502
carry SF,SPLMSF,90,4.75,-55.43229498488389,-58.74245602020292,-55.11363636363636,-43.64161849710983,8.688862749753147,16.34886580467643
carry SF,SPLMSFT,90,4.75,-55.188474574245156,-58.73846109945927,-35.146103896103895,-34.104046242774565,8.687060588238468,16.34340207699727
carry SF,ANN,95,2.5,14.28056971374353,5.817690094198768,19.805194805194805,28.251445086705203,8.330189442786768,15.098306576616983
carry SF,SVR,95,2.5,21.717526716987408,13.329838206151429,15.584415584415584,25.289017341040463,8.273707326811738,15.166293905938417
carry SF,RF,95,2.5,16.525343130784734,7.353170725086182,11.03896103896104,20.014450867052023,8.315124667490409,15.13808515110616
carry SF,MLR,95,3.25,-0.405046684845571,-8.814422319950026,7.548701298701299,13.945086705202312,8.443013386714725,15.56017404624574
carry SF,Friis,95,2.0,-9.044740286688905,-18.303607785650264,-9.577922077922077,-5.997109826589595,8.526538716796253,16.80846296722549
carry SF,SPLMSF,95,6.0,-63.31160519912553,-64.46329437793523,-53.40909090909091,-13.00578034682081,8.875569920089784,17.009628280240683
carry SF,SPLMSFT,95,6.0,-63.68698518155427,-65.00028843282566,-34.65909090909091,-9.104046242774569,8.876012366928718,17.00379695338181
carry SF,ANN,99,4.0,41.116011818530566,36.41905029796022,43.26298701298701,32.73121387283237,8.550954228334943,16.01365614228752
carry SF,SVR,99,3.75,47.359912879731034,41.65044887090924,41.1525974025974,30.202312138728324,8.474615961539499,15.913547396943283
