sf_max,min_tp,max_tp,line28,variant,adr_order,adr_window,mae_adr_lm,mae_friis_lm,mae_ml_lm,mae_energy_pp,mae_toa_pp,n_unreachable,score
11,7.0,20.0,repaired,corrected,blocks,100,0.8,0.95,1.3333333333333333,16.99796620830779,5.863918253207651,0,5.369521779484877
11,7.0,20.0,repaired,corrected,test_order,100,0.8,0.95,1.3333333333333333,17.050714052404274,5.86231431314165,0,5.374636169887925
11,7.0,20.0,repaired,corrected,test_order,50,1.05,0.95,1.3333333333333333,15.975831941531927,5.364445780639816,0,5.467361105550507
11,7.0,20.0,repaired,corrected,blocks,50,1.05,0.95,1.3333333333333333,15.982396726390833,5.378511987183071,0,5.469424204690724
11,7.0,20.0,repaired,corrected,test_order,20,1.5,0.95,1.3333333333333333,13.789828452910674,4.879502436107554,0,5.650266422235156
11,7.0,20.0,repaired,corrected,blocks,20,1.5,0.95,1.3333333333333333,13.821408455711532,4.887376361528921,0,5.654211815057378
12,7.0,20.0,repaired,corrected,test_order,50,1.05,0.95,1.3333333333333333,21.767190855581305,3.7507154963969462,0,5.8851239685311585
12,2.0,20.0,repaired,corrected,test_order,20,1.5,0.95,0.5,27.64761689866785,2.00850488460623,0,5.915612178327408
12,7.0,20.0,repaired,corrected,blocks,50,1.05,0.95,1.3333333333333333,21.99882724765116,3.893491361992781,0,5.922565194297727
12,2.0,20.0,repaired,corrected,blocks,20,1.5,0.95,0.5,27.676597581877317,2.117101479917666,0,5.929369906179499
12,7.0,20.0,repaired,corrected,blocks,20,1.5,0.95,1.3333333333333333,11.841897143830403,10.118028779142056,0,5.979325925630579
12,7.0,20.0,repaired,corrected,test_order,20,1.5,0.95,1.3333333333333333,11.818206789974894,10.20819274359235,0,5.985973286690058
12,7.0,20.0,repaired,corrected,blocks,10,2.0,0.95,1.3333333333333333,12.272416624839066,6.184402098156561,0,6.129015205632896
12,7.0,20.0,repaired,corrected,test_order,10,2.0,0.95,1.3333333333333333,12.378044746740564,6.1452581310538745,0,6.135663621112776
11,7.0,20.0,repaired,corrected,expanding,100,0.95,0.95,1.3333333333333333,23.11659852982662,6.41904098112344,0,6.18689728442834
11,7.0,20.0,repaired,corrected,expanding,50,0.95,0.95,1.3333333333333333,23.11659852982662,6.41904098112344,0,6.18689728442834
11,7.0,20.0,repaired,corrected,expanding,10,0.95,0.95,1.3333333333333333,23.11659852982662,6.41904098112344,0,6.18689728442834
11,7.0,20.0,repaired,corrected,expanding,20,0.95,0.95,1.3333333333333333,23.11659852982662,6.41904098112344,0,6.18689728442834
11,7.0,20.0,repaired,corrected,blocks,10,2.0,0.95,1.3333333333333333,14.317454085513722,5.255868499135121,0,6.2406655917982174
11,7.0,20.0,repaired,corrected,test_order,10,2.0,0.95,1.3333333333333333,14.3244406947855,5.263214633630578,0,6.24209886617494
11,2.0,20.0,repaired,corrected,blocks,100,0.8,0.95,0.5,26.682488063881063,13.479531953458947,0,6.266202001734001
11,2.0,20.0,repaired,corrected,test_order,100,0.8,0.95,0.5,26.741951744624345,13.477766930790805,0,6.271971867541515
11,2.0,20.0,repaired,corrected,test_order,50,1.05,0.95,0.5,25.530216027792722,12.929897802605163,0,6.346011383039788
11,2.0,20.0,repaired,corrected,blocks,50,1.05,0.95,0.5,25.53761663871219,12.945376668636337,0,6.348299330734853
11,2.0,20.0,repaired,corrected,test_order,20,1.5,0.95,0.5,23.065891356754026,12.39625193016325,0,6.496214328691728
11,2.0,20.0,repaired,corrected,blocks,20,1.5,0.95,0.5,23.101492114217923,12.40491662852112,0,6.500640874273904
12,7.0,20.0,repaired,corrected,blocks,100,0.8,0.95,1.3333333333333333,25.59529503862881,8.76464322120988,0,6.519327159317202
12,7.0,20.0,repaired,corrected,test_order,100,0.8,0.95,1.3333333333333333,25.925233147861064,9.264191033624604,0,6.6022757514818995
11,7.0,20.0,repaired,corrected,per_device_max,50,1.2,0.95,1.3333333333333333,24.761611442044863,6.549027134290163,0,6.614397190966836
11,7.0,20.0,repaired,corrected,per_device_max,20,1.2,0.95,1.3333333333333333,24.761611442044863,6.549027134290163,0,6.614397190966836
11,7.0,20.0,repaired,corrected,per_device_max,10,1.2,0.95,1.3333333333333333,24.761611442044863,6.549027134290163,0,6.614397190966836
11,7.0,20.0,repaired,corrected,per_device_max,100,1.2,0.95,1.3333333333333333,24.761611442044863,6.549027134290163,0,6.614397190966836
12,7.0,20.0,repaired,corrected,per_device_sf,100,3.1,0.95,1.3333333333333333,5.046169837641301,7.74618431220842,0,6.662568748318305
11,7.0,20.0,as printed,corrected,blocks,100,0.8,1.0,1.375,29.156669043311314,5.863918253207651,0,6.677058729651897
11,7.0,20.0,as printed,corrected,test_order,100,0.8,1.0,1.375,29.217848471671278,5.86231431314165,0,6.683016278481292
11,7.0,20.0,as printed,corrected,test_order,50,1.05,1.0,1.375,27.97114968759892,5.364445780639816,0,6.758559546823873
11,7.0,20.0,as printed,corrected,blocks,50,1.05,1.0,1.375,27.978763833576902,5.378511987183071,0,6.760727582075997
11,7.0,20.0,as printed,corrected,test_order,20,1.5,1.0,1.375,25.435720114740676,4.879502436107554,0,6.906522255084822
11,7.0,20.0,as printed,corrected,blocks,20,1.5,1.0,1.375,25.472348086026646,4.887376361528921,0,6.910972444755556
12,2.0,20.0,repaired,corrected,per_device_sf,100,3.1,0.95,0.5,19.36330595948315,4.973832938961309,0,6.983713889844446
12,2.0,20.0,repaired,corrected,blocks,10,2.0,0.95,0.5,28.203257030305625,7.139112593977597,0,6.984236962428323
12,2.0,20.0,repaired,corrected,test_order,10,2.0,0.95,0.5,28.332473130559276,7.298675410996004,0,7.0131148541555275
11,2.0,20.0,repaired,corrected,blocks,10,2.0,0.95,0.5,23.660694096211767,12.810416179093393,0,7.0971110275305165
11,2.0,20.0,repaired,corrected,test_order,10,2.0,0.95,0.5,23.66857023807749,12.818500080844194,0,7.098707031892168
11,2.0,20.0,repaired,corrected,expanding,10,0.95,0.95,0.5,33.580142464443696,14.090405276685368,0,7.167054774112907
11,2.0,20.0,repaired,corrected,expanding,100,0.95,0.95,0.5,33.580142464443696,14.090405276685368,0,7.167054774112907
11,2.0,20.0,repaired,corrected,expanding,20,0.95,0.95,0.5,33.580142464443696,14.090405276685368,0,7.167054774112907
11,2.0,20.0,repaired,corrected,expanding,50,0.95,0.95,0.5,33.580142464443696,14.090405276685368,0,7.167054774112907
12,7.0,20.0,as printed,corrected,blocks,20,1.5,1.0,1.375,23.907212894288165,10.118028779142056,0,7.277524167343022
12,7.0,20.0,as printed,corrected,test_order,20,1.5,1.0,1.375,23.879491552013956,10.20819274359235,0,7.283768429560631
12,2.0,20.0,as printed,corrected,test_order,20,1.5,1.0,0.5416666666666666,40.979093250846596,2.00850488460623,0,7.340426480211948
12,7.0,20.0,as printed,corrected,test_order,50,1.05,1.0,1.375,35.52132663161939,3.7507154963969462,0,7.352204212801634
12,2.0,20.0,as printed,corrected,blocks,20,1.5,1.0,0.5416666666666666,41.012529431777914,2.117101479917666,0,7.354629757836225
11,2.0,20.0,as printed,corrected,blocks,100,0.8,1.0,0.5,37.29318989713576,13.479531953458947,0,7.3772721850594705
11,2.0,20.0,as printed,corrected,test_order,100,0.8,1.0,0.5,37.360011684069796,13.477766930790805,0,7.38377786148606
