sf_max,min_tp,max_tp,line28,variant,adr_order,adr_window,mae_adr_lm,mae_friis_lm,mae_ml_lm,mae_energy_pp,mae_toa_pp,n_unreachable,score
12,10.0,20.0,repaired,corrected,test_order,100,0.3125,0.95,1.7916666666666667,,,7,21.054166666666667
11,10.0,20.0,repaired,corrected,test_order,100,0.3125,0.95,1.7916666666666667,,,7,21.054166666666667
11,10.0,20.0,repaired,corrected,blocks,100,0.3125,0.95,1.7916666666666667,,,7,21.054166666666667
11,5.0,20.0,repaired,corrected,test_order,200,2.375,0.95,0.5,,,7,21.825
12,5.0,20.0,repaired,corrected,test_order,200,2.375,0.95,0.5,,,7,21.825
11,2.0,20.0,repaired,corrected,test_order,200,2.625,0.95,0.3333333333333333,,,7,21.90833333333333
11,2.0,20.0,repaired,corrected,blocks,200,2.625,0.95,0.3333333333333333,,,7,21.90833333333333
12,2.0,20.0,repaired,corrected,test_order,200,2.625,0.95,0.3333333333333333,,,7,21.90833333333333
12,2.0,20.0,repaired,corrected,blocks,200,2.625,0.95,0.3333333333333333,,,7,21.90833333333333
12,5.0,20.0,repaired,corrected,blocks,200,2.5,0.95,0.5,,,7,21.95
11,5.0,20.0,repaired,corrected,blocks,200,2.5,0.95,0.5,,,7,21.95
11,7.0,20.0,repaired,corrected,test_order,200,1.9375,0.95,1.125,,,7,22.0125
11,7.0,20.0,repaired,corrected,blocks,200,1.9375,0.95,1.125,,,7,22.0125
12,7.0,20.0,repaired,corrected,test_order,200,1.9375,0.95,1.125,,,7,22.0125
12,7.0,20.0,repaired,corrected,blocks,200,1.9375,0.95,1.125,,,7,22.0125
11,10.0,20.0,repaired,corrected,test_order,200,1.5625,0.95,1.7916666666666667,,,7,22.304166666666667
11,10.0,20.0,repaired,corrected,blocks,200,1.5625,0.95,1.7916666666666667,,,7,22.304166666666667
12,10.0,20.0,repaired,corrected,blocks,200,1.5625,0.95,1.7916666666666667,,,7,22.304166666666667
12,10.0,20.0,repaired,corrected,test_order,200,1.5625,0.95,1.7916666666666667,,,7,22.304166666666667
11,2.0,20.0,repaired,corrected,per_device_max,200,,0.95,0.3333333333333333,,,11,28.28333333333333
11,2.0,20.0,repaired,corrected,per_device_max,100,,0.95,0.3333333333333333,,,11,28.28333333333333
11,2.0,20.0,repaired,corrected,expanding,20,,0.95,0.3333333333333333,,,11,28.28333333333333
11,2.0,20.0,repaired,corrected,expanding,50,,0.95,0.3333333333333333,,,11,28.28333333333333
12,2.0,20.0,repaired,corrected,expanding,20,,0.95,0.3333333333333333,,,11,28.28333333333333
12,2.0,20.0,repaired,corrected,expanding,50,,0.95,0.3333333333333333,,,11,28.28333333333333
12,2.0,20.0,repaired,corrected,expanding,100,,0.95,0.3333333333333333,,,11,28.28333333333333
12,2.0,20.0,repaired,corrected,expanding,200,,0.95,0.3333333333333333,,,11,28.28333333333333
12,2.0,20.0,repaired,corrected,per_device_max,20,,0.95,0.3333333333333333,,,11,28.28333333333333
12,2.0,20.0,repaired,corrected,per_device_max,50,,0.95,0.3333333333333333,,,11,28.28333333333333
12,2.0,20.0,repaired,corrected,per_device_max,100,,0.95,0.3333333333333333,,,11,28.28333333333333
