case,psi_sd,rmse_vs_paper_SPLMSF,rmse_vs_paper_SPLMSFT,pdr_lm0,pdr_lm1,pdr_lm2,pdr_lm3,pdr_lm4,pdr_lm5,pdr_lm6,pdr_lm7,pdr_lm8,pdr_lm9,pdr_lm10,pdr_lm11
"SPLMSF + normal, own sd (final SPLMSF)",2.5668858467841087,1.6414850023022958,1.7446601022156873,50.23120545180837,61.06144075798697,71.09850916998052,79.72568295986144,86.59224207237783,91.6399130214263,95.12391209336707,97.3204987778755,98.56366648141453,99.25863176012906,99.63255329595917,99.80575504632203
"SPLMSF + t, own sd",2.5668858467841087,1.830231397747667,1.5086725773166063,50.34019845359434,61.406765120081154,71.59113595528049,80.19510826458321,86.98720681152304,91.91940992699628,95.20322878278557,97.29891600524462,98.50755127257423,99.17931507071056,99.55107832927757,99.74208586706091
"SPLMSF + normal, Appendix sd",1.9161215840200518,3.35934335002393,0.7462020688387951,50.42059428164439,62.56036431720201,73.63880150863581,82.76507691560596,89.58523306696596,94.19801114750206,97.00592986678033,98.53129232246822,99.2985598894962,99.6568339151689,99.80791332358511,99.88237388916167
"SPLMSF + t, Appendix scale (final SPLMSFT)",1.9161215840200518,3.433234952649212,0.7610521641957887,50.33696103769971,62.66827818035644,73.81416153626176,82.9523074681789,89.72821893564557,94.27894654486788,97.01132555993806,98.52319878273163,99.2656461612341,99.64172597432729,99.79874064521698,99.87050336421468
