PDR,ADR,ANN,FRIIS,MLR,RF,SPLMSF,SPLMSFT,SVR
80,0.08116883116883117,3.814935064935065,-30.032467532467532,-14.366883116883116,-4.058441558441558,-72.32142857142857,-50.56818181818182,-0.8928571428571428
85,0.2435064935064935,14.853896103896103,-16.63961038961039,-2.1915584415584415,7.386363636363636,-60.064935064935064,-36.12012987012987,10.470779220779221
90,40.66558441558441,17.37012987012987,-11.03896103896104,4.626623376623376,10.714285714285714,-55.11363636363636,-35.146103896103895,13.87987012987013
95,0.487012987012987,19.805194805194805,-9.577922077922077,7.548701298701299,11.03896103896104,-53.40909090909091,-34.65909090909091,15.584415584415584
99,0.3246753246753247,43.26298701298701,-10.308441558441558,20.0487012987013,38.5551948051948,-18.993506493506494,-10.876623376623376,41.1525974025974
